epoch,loss,val_loss
0,1.53514685237,1.45894473974
1,1.41002730834,1.40279316756
2,1.31567900126,1.35305623043
3,1.24869438073,1.42836504772
4,1.19537418978,1.54118295901
5,1.13306932143,1.52672441459
6,1.07476862104,1.62973587864
7,1.00759313271,1.74943572685
8,0.947165052516,2.13705193119
9,0.895907680155,2.00312753104
10,0.84054200766,2.06453468097
11,0.788540742219,1.78223790859
12,0.73025388395,1.8057158125
13,0.679675509284,2.11288198518
14,0.631434928662,2.1821385271
15,0.58570770579,2.3383716023
16,0.544583575968,2.31313098793
17,0.497217649862,2.69930521988
18,0.463597574527,2.50326634112
19,0.422620708677,2.56857645219
20,0.39284628092,2.56217963856
21,0.363514530624,2.83494458462
22,0.332967140395,2.81017156905
23,0.306513537258,2.97916076812
24,0.287004933991,3.62130639451
25,0.252204474526,3.25232645193
26,0.25349535713,3.38665918777
27,0.217419804573,3.78659835915
