epoch,loss,val_loss
0,1.2467253968157372,0.8940698195642397
1,0.7637332849773514,0.7160368336609925
2,0.6682929114030403,0.6852859479473572
3,0.6440803134005613,0.67285351522062
4,0.6313298744133664,0.6776302778600094
5,0.6171978907528193,0.6905670928541037
6,0.6120937417651966,0.6831043024484051
7,0.6086233650218564,0.6580694159101992
8,0.6005021973317229,0.6709746050765649
9,0.5942845594783732,0.6649543298826204
10,0.5892641279863957,0.6729508482254017
11,0.5849053444441272,0.6445262920321673
12,0.5790809713711222,0.6498458324223972
13,0.5750618787766193,0.6470406859379947
14,0.5666920388905501,0.6432233171594126
15,0.562332101719042,0.7176051153632907
16,0.5593812489828854,0.7079308565204637
17,0.5565466521077945,0.6501295106800868
18,0.5506952597402034,0.6413840673939364
19,0.5473849733713697,0.6846551615663962
20,0.5418799252040655,0.6338188812115085
21,0.5364542306008824,0.655375385508696
22,0.5332546613590035,0.6841818076139249
23,0.5276003561932843,0.7413946258176426
24,0.5282227292338705,0.6447666975765256
25,0.5267012469198149,0.6480595029556285
26,0.5245944136538628,0.6320125558096834
27,0.5182263037237705,0.6626994176814939
28,0.5133840382811042,0.7675668179730085
29,0.5126583877137896,0.6311094768658043
30,0.5066872453219297,0.6892886235986536
31,0.5039962641018437,0.6768943519909717
32,0.49872870256276913,0.8208918393779595
33,0.49514689707169274,0.7373198261309291
34,0.49754605712210664,0.7203646042585028
35,0.49212336348227476,0.7133112279792598
36,0.48985033914570875,0.6634484570899334
37,0.48697703925759905,0.7799266251572307
38,0.48887242569338357,0.687054986374078
39,0.48459190942436037,0.845856341801573
40,0.4835523346650009,0.7166613640557494
41,0.4783020546114449,0.7041716359976231
42,0.48015337487816856,0.6950576552951387
43,0.4754162334981622,0.7034901663466921
44,0.4669128592964363,0.7964801936694751
45,0.469649350280741,0.7577717313718175
46,0.4723968334574221,0.743198652084588
47,0.4648781319459279,0.7019179345212349
48,0.4592785300485388,0.7072745320938431
49,0.45842970736726574,0.8344675172255112
50,0.4624246233967047,0.6993773267341592
51,0.46172818208232635,0.7589206662778399
52,0.4493044750482502,0.7630098972755299
53,0.45473794614841573,0.8941658722336489
54,0.4575688463814052,0.711509356536672
