epoch,loss,val_loss
0,0.719463463517,0.692288936515
1,0.691621073302,0.694048095954
2,0.687236726985,0.698869546208
3,0.680080327993,0.678179048343
4,0.677022428555,0.689331320002
5,0.673131099299,0.677007904764
6,0.690615949423,0.683569496303
7,0.658708121736,0.780871196373
8,0.659437890845,0.638453509882
9,0.661483097858,0.648923234465
10,0.653883898465,0.676686989435
11,0.659409565975,0.655313516265
12,0.645867114501,0.674524233078
13,0.64731247438,0.647666818177
14,0.655125108285,0.67437927178
15,0.642906071525,0.636253691238
16,0.639932879036,0.643483523511
17,0.635178797426,0.731998359502
18,0.635970417065,0.675806320652
19,0.634088971248,0.659652954403
20,0.627602785861,0.727634356039
21,0.637471968571,0.638057784524
22,0.626904674831,0.651663288387
23,0.627180741739,0.644124075193
24,0.623659480977,0.660177535757
25,0.625160957851,0.628006079187
26,0.62084033375,0.646292137939
27,0.619551779048,0.655943585058
28,0.622459618994,0.639464887483
29,0.616504380379,0.649814424027
30,0.615950687726,0.671454961761
31,0.619787773559,0.656400860126
32,0.613196060005,0.638968190701
33,0.612311389143,0.627191352998
34,0.680708214706,0.645192683759
35,0.610094439237,0.64773051108
36,0.611863898786,0.647691318102
37,0.606184538361,0.644312640965
38,0.606822341943,0.68153786281
39,0.606187467536,0.642699222885
40,0.609008651935,0.628798520418
41,0.603773927307,0.640013576534
42,0.602662051824,0.620966416198
43,0.604508149074,0.672278164311
44,0.599632075419,0.660611195864
45,0.599833837545,0.63780875912
46,0.600889027162,0.631620011234
47,0.594721316258,0.633379502911
48,0.595868989252,0.614329361292
49,0.590060906273,0.618726909476
50,0.59917202577,0.642160011795
51,0.594987735148,0.642669751347
52,0.595768291986,0.626780494505
53,0.593720125532,0.642037785221
54,0.587446646501,0.65143025972
55,0.585743524101,0.619175717637
56,0.586645393933,0.630284343742
57,0.586050061331,0.624383404378
58,0.583100600792,0.667747169138
59,0.585348876354,0.635982302745
60,0.583933603517,0.623380522996
61,0.582163683236,0.620341427668
62,0.583370605918,0.618788520244
63,0.583074892807,0.689747786865
64,0.581719413001,0.658029114563
65,0.577888413384,0.641531239525
66,0.582003111747,0.662808511323
67,0.573941494038,0.63622152203
68,0.577716423314,0.623021654846
69,0.580034914417,0.679561085693
70,0.581929040636,0.641229244713
71,0.572118324285,0.65586926332
72,0.585954068594,0.629253240436
73,0.574821845393,0.61647901818
